code,procedure,hospitals,states,avg_per_patient,conservative_total,aspirational_total,conservative_national,aspirational_national
27130,Hip replacement,327,40,3261.225,188636000.0,1179953163.0,1023341772.1518987,6401192566.003617
27447,Knee replacement,391,41,3584.682926829268,202187604.0,1096665403.0,1096858611.2115734,5949360233.273056
29827,Shoulder arthroscopy,417,42,2523.690476190476,104515149.0,747534059.0,566989958.40868,4055338475.5877037
43239,Upper GI endoscopy,652,45,848.4222222222222,602748392.0,3366606077.0,3269882777.5768538,18263685770.343582
45378,"Colonoscopy, diagnostic",655,45,673.4222222222222,96601191.0,381966682.0,524057094.03254974,2072151981.9168174
47562,Lap. cholecystectomy,569,44,2473.181818181818,14230565.0,111413560.0,77200171.79023509,604413526.2206149
70553,Brain MRI w/ contrast,745,47,697.936170212766,409575127.0,2199910106.0,2221926547.920434,11934412871.609404
74177,CT scan abdomen,782,47,724.0851063829788,1657439772.0,8179649491.0,8991535833.63472,44374228703.43581
