state,code,procedure,n_hospitals,median_price,lowest_price,highest_price,shoppable_volume,total_volume,conservative_per_patient,conservative_total,aspirational_per_patient,aspirational_total
CT,29827,Shoulder arthroscopy,5,5300.0,5300.0,27748.0,417,695,0.0,0.0,22447.0,15600865.0
CT,43239,Upper GI endoscopy,5,1997.0,2146.0,4724.0,10131,16885,0.0,0.0,2578.0,43534784.0
CT,45378,"Colonoscopy, diagnostic",5,2667.0,2667.0,3850.0,1605,2141,0.0,0.0,1183.0,2533674.0
CT,47562,Lap. cholecystectomy,4,7153.0,5648.0,6999.0,33,84,1504.0,50541.0,1351.0,113460.0
CT,70553,Brain MRI w/ contrast,4,989.0,762.0,1168.0,8306,11867,227.0,1885448.0,406.0,4815717.0
CT,74177,CT scan abdomen,4,663.0,909.0,621.0,28411,40588,0.0,0.0,0.0,0.0
FL,27130,Hip replacement,14,12237.0,11299.0,13911.0,3744,4680,939.0,3514183.0,2612.0,12225300.0
FL,27447,Knee replacement,17,12886.0,12704.0,18904.0,3978,4680,182.0,722295.0,6200.0,29016074.0
FL,29827,Shoulder arthroscopy,14,7010.0,15649.0,8745.0,3814,6358,0.0,0.0,0.0,0.0
FL,43239,Upper GI endoscopy,13,2308.0,2308.0,2811.0,97429,162383,0.0,0.0,504.0,81822523.0
FL,45378,"Colonoscopy, diagnostic",13,1845.0,1505.0,2410.0,16147,21530,340.0,5490149.0,905.0,19476981.0
FL,47562,Lap. cholecystectomy,13,7478.0,8464.0,7659.0,744,1862,0.0,0.0,0.0,0.0
FL,70553,Brain MRI w/ contrast,24,910.0,629.0,3669.0,41912,59875,281.0,11782266.0,3040.0,182002558.0
FL,74177,CT scan abdomen,27,869.0,1600.0,4278.0,143334,204763,0.0,0.0,2677.0,548207022.0
GA,27130,Hip replacement,3,15951.0,2832.0,38925.0,508,635,13119.0,6664521.0,36093.0,22918975.0
GA,27447,Knee replacement,3,15951.0,2558.0,43775.0,539,635,13393.0,7228674.0,41217.0,26172694.0
GA,29827,Shoulder arthroscopy,5,8123.0,2064.0,21413.0,1339,2233,6059.0,8117422.0,19349.0,43205763.0
GA,43239,Upper GI endoscopy,8,1090.0,464.0,4325.0,27672,46120,627.0,17343274.0,3862.0,178108484.0
GA,45378,"Colonoscopy, diagnostic",7,1110.0,1003.0,4001.0,6275,8367,106.0,666766.0,2997.0,25079218.0
GA,47562,Lap. cholecystectomy,7,6562.0,2413.0,12570.0,132,332,4149.0,550963.0,10158.0,3372322.0
GA,70553,Brain MRI w/ contrast,8,2648.0,550.0,4789.0,15642,22347,2098.0,32817749.0,4239.0,94734397.0
GA,74177,CT scan abdomen,9,1811.0,310.0,4801.0,57388,81984,1501.0,86147889.0,4490.0,368124882.0
HI,27130,Hip replacement,11,1425.0,1167.0,31275.0,67,84,258.0,17332.0,30108.0,2529094.0
HI,27447,Knee replacement,11,1423.0,1256.0,29904.0,71,84,167.0,11892.0,28648.0,2406403.0
HI,29827,Shoulder arthroscopy,11,2703.0,665.0,15030.0,126,211,2038.0,258001.0,14365.0,3030997.0
HI,43239,Upper GI endoscopy,10,706.0,178.0,4624.0,2073,3456,529.0,1096081.0,4446.0,15364590.0
HI,45378,"Colonoscopy, diagnostic",11,797.0,221.0,3898.0,566,755,576.0,325943.0,3677.0,2775856.0
HI,47562,Lap. cholecystectomy,11,906.0,542.0,12961.0,10,27,364.0,3927.0,12419.0,335323.0
HI,70553,Brain MRI w/ contrast,8,826.0,778.0,2701.0,1294,1849,48.0,62312.0,1924.0,3556966.0
HI,74177,CT scan abdomen,9,437.0,421.0,2286.0,6354,9078,17.0,106026.0,1866.0,16937649.0
IA,27130,Hip replacement,11,4555.0,23390.0,4192.0,937,1172,0.0,0.0,0.0,0.0
IA,27447,Knee replacement,14,12924.0,18694.0,4034.0,996,1172,0.0,0.0,0.0,0.0
IA,29827,Shoulder arthroscopy,15,10845.0,10845.0,15602.0,471,786,0.0,0.0,4757.0,3738617.0
IA,43239,Upper GI endoscopy,30,3448.0,1489.0,1404.0,6876,11461,1959.0,13468675.0,0.0,0.0
IA,45378,"Colonoscopy, diagnostic",37,2611.0,621.0,7523.0,1311,1749,1990.0,2610257.0,6902.0,12072197.0
IA,47562,Lap. cholecystectomy,34,11241.0,9786.0,16131.0,58,147,1455.0,85530.0,6345.0,932758.0
IA,70553,Brain MRI w/ contrast,35,3317.0,775.0,5334.0,6738,9627,2543.0,17135548.0,4559.0,43889617.0
IA,74177,CT scan abdomen,39,2767.0,630.0,6668.0,22878,32683,2137.0,48882097.0,6038.0,197325641.0
ID,27130,Hip replacement,5,2891.0,6193.0,2865.0,87,109,0.0,0.0,0.0,0.0
ID,27447,Knee replacement,5,11498.0,11498.0,2899.0,92,109,0.0,0.0,0.0,0.0
ID,29827,Shoulder arthroscopy,6,5341.0,11922.0,2531.0,356,594,0.0,0.0,0.0,0.0
ID,43239,Upper GI endoscopy,13,2288.0,2590.0,4627.0,4443,7405,0.0,0.0,2037.0,15083885.0
ID,45378,"Colonoscopy, diagnostic",12,1879.0,2042.0,4212.0,606,808,0.0,0.0,2171.0,1753860.0
ID,47562,Lap. cholecystectomy,10,8456.0,12155.0,1741.0,32,82,0.0,0.0,0.0,0.0
ID,70553,Brain MRI w/ contrast,13,2645.0,2823.0,3405.0,2374,3392,0.0,0.0,582.0,1975391.0
ID,74177,CT scan abdomen,13,2173.0,3637.0,2549.0,13617,19454,0.0,0.0,0.0,0.0
IL,27130,Hip replacement,8,13298.0,12731.0,39297.0,2645,3307,567.0,1500297.0,26567.0,87855875.0
IL,27447,Knee replacement,10,14813.0,14275.0,37930.0,2810,3307,538.0,1512185.0,23655.0,78227913.0
IL,29827,Shoulder arthroscopy,8,7420.0,3752.0,12157.0,1396,2328,3668.0,5123975.0,8405.0,19566730.0
IL,43239,Upper GI endoscopy,22,1182.0,785.0,6616.0,35203,58673,397.0,13961871.0,5831.0,342098947.0
IL,45378,"Colonoscopy, diagnostic",23,988.0,773.0,2372.0,7221,9628,215.0,1551586.0,1599.0,15397283.0
IL,47562,Lap. cholecystectomy,20,6196.0,3497.0,11745.0,242,606,2699.0,654178.0,8248.0,4998152.0
IL,70553,Brain MRI w/ contrast,34,1644.0,383.0,4227.0,28734,41050,1260.0,36218138.0,3843.0,157771645.0
IL,74177,CT scan abdomen,37,1406.0,405.0,3978.0,102211,146017,1001.0,102287383.0,3572.0,521613913.0
IN,27130,Hip replacement,15,26596.0,49468.0,62925.0,1459,1824,0.0,0.0,13458.0,24546890.0
IN,27447,Knee replacement,17,24927.0,24927.0,62176.0,1550,1824,0.0,0.0,37249.0,67942781.0
IN,29827,Shoulder arthroscopy,15,13044.0,5146.0,33046.0,742,1237,7899.0,5862335.0,27900.0,34512052.0
IN,43239,Upper GI endoscopy,25,2286.0,728.0,10936.0,16504,27508,1559.0,25722779.0,10209.0,280821317.0
IN,45378,"Colonoscopy, diagnostic",25,1872.0,1046.0,6468.0,3039,4053,826.0,2511246.0,5422.0,21974073.0
IN,47562,Lap. cholecystectomy,24,9764.0,6693.0,17406.0,166,417,3071.0,512179.0,10713.0,4467262.0
IN,70553,Brain MRI w/ contrast,34,1208.0,466.0,2487.0,10647,15210,742.0,7895245.0,2021.0,30736335.0
IN,74177,CT scan abdomen,36,1846.0,409.0,2646.0,48474,69249,1437.0,69643631.0,2237.0,154881617.0
KS,27130,Hip replacement,5,2668.0,2668.0,57641.0,1664,2081,0.0,0.0,54972.0,114397245.0
KS,27447,Knee replacement,8,6414.0,19688.0,51314.0,1768,2081,0.0,0.0,31626.0,65814636.0
KS,29827,Shoulder arthroscopy,9,5718.0,5063.0,31820.0,828,1380,655.0,542072.0,26757.0,36924670.0
KS,43239,Upper GI endoscopy,35,1614.0,1357.0,3902.0,8718,14530,258.0,2244908.0,2545.0,36976235.0
KS,45378,"Colonoscopy, diagnostic",36,1831.0,1069.0,2576.0,2706,3609,762.0,2062140.0,1506.0,5436933.0
KS,47562,Lap. cholecystectomy,23,5928.0,3580.0,23722.0,80,200,2349.0,187890.0,20142.0,4028474.0
KS,70553,Brain MRI w/ contrast,40,1226.0,619.0,4618.0,7112,10160,607.0,4315151.0,3999.0,40628037.0
KS,74177,CT scan abdomen,40,1464.0,640.0,7093.0,23312,33304,824.0,19210141.0,6452.0,214893609.0
KY,27130,Hip replacement,5,12500.0,12500.0,30204.0,355,444,0.0,0.0,17703.0,7860309.0
KY,27447,Knee replacement,7,14192.0,13464.0,28259.0,377,444,729.0,275008.0,14795.0,6568926.0
KY,29827,Shoulder arthroscopy,6,5235.0,4661.0,17754.0,465,776,574.0,267400.0,13093.0,10160473.0
KY,43239,Upper GI endoscopy,12,1664.0,924.0,3962.0,13169,21949,741.0,9755959.0,3038.0,66682014.0
KY,45378,"Colonoscopy, diagnostic",12,1738.0,816.0,2921.0,2712,3616,922.0,2501668.0,2105.0,7612869.0
KY,47562,Lap. cholecystectomy,10,5752.0,5062.0,802.0,101,253,690.0,69784.0,0.0,0.0
KY,70553,Brain MRI w/ contrast,21,1239.0,1124.0,5409.0,6988,9984,114.0,799600.0,4285.0,42776648.0
KY,74177,CT scan abdomen,21,1508.0,1573.0,7616.0,24191,34559,0.0,0.0,6043.0,208841561.0
LA,27130,Hip replacement,5,24000.0,1596.0,48846.0,403,504,22404.0,9033386.0,47250.0,23813957.0
LA,27447,Knee replacement,8,15281.0,1596.0,49201.0,428,504,13685.0,5862716.0,47605.0,23993122.0
LA,29827,Shoulder arthroscopy,8,11395.0,1169.0,18395.0,730,1217,10226.0,7466804.0,17226.0,20963913.0
LA,43239,Upper GI endoscopy,11,1634.0,434.0,2268.0,15334,25558,1199.0,18389509.0,1833.0,46852786.0
LA,45378,"Colonoscopy, diagnostic",10,1281.0,422.0,2225.0,2754,3672,859.0,2364614.0,1802.0,6618595.0
LA,47562,Lap. cholecystectomy,9,5447.0,793.0,1460.0,75,188,4655.0,350035.0,667.0,125414.0
LA,70553,Brain MRI w/ contrast,11,1304.0,2274.0,4119.0,7179,10256,0.0,0.0,1845.0,18926349.0
LA,74177,CT scan abdomen,11,759.0,1479.0,2796.0,20304,29007,0.0,0.0,1317.0,38210945.0
MA,27130,Hip replacement,4,10851.0,10136.0,11566.0,3757,4697,715.0,2686020.0,1430.0,6715051.0
MA,27447,Knee replacement,4,11582.0,4934.0,12302.0,3992,4697,6648.0,26541021.0,7368.0,34607490.0
MA,29827,Shoulder arthroscopy,4,5578.0,4395.0,5652.0,1156,1928,1183.0,1368199.0,1257.0,2424146.0
MA,43239,Upper GI endoscopy,5,1185.0,1154.0,4139.0,19900,33167,30.0,603388.0,2985.0,98992022.0
MA,45378,"Colonoscopy, diagnostic",5,1291.0,1291.0,3144.0,4434,5912,0.0,0.0,1854.0,10959916.0
MA,47562,Lap. cholecystectomy,5,4301.0,3807.0,17735.0,214,535,494.0,105698.0,13928.0,7451659.0
MA,70553,Brain MRI w/ contrast,5,993.0,704.0,1853.0,26131,37330,289.0,7538880.0,1148.0,42861842.0
MA,74177,CT scan abdomen,6,715.0,597.0,2004.0,79856,114080,119.0,9473440.0,1408.0,160571364.0
MD,27447,Knee replacement,3,12481.0,9996.0,19242.0,926,1090,2485.0,2302300.0,9246.0,10078333.0
MD,43239,Upper GI endoscopy,3,2690.0,1089.0,4704.0,28058,46764,1601.0,44914845.0,3615.0,169070856.0
MD,45378,"Colonoscopy, diagnostic",3,2124.0,1272.0,2681.0,6416,8555,852.0,5464198.0,1409.0,12052588.0
MD,47562,Lap. cholecystectomy,3,7506.0,3691.0,10737.0,125,314,3815.0,479161.0,7046.0,2212478.0
MD,70553,Brain MRI w/ contrast,3,615.0,873.0,615.0,16090,22986,0.0,0.0,0.0,0.0
MD,74177,CT scan abdomen,3,414.0,414.0,424.0,53438,76340,0.0,0.0,11.0,834512.0
ME,27130,Hip replacement,2,32592.0,30321.0,34863.0,45,57,2271.0,103562.0,4542.0,258906.0
ME,27447,Knee replacement,3,34548.0,12012.0,37617.0,48,57,22536.0,1091869.0,25605.0,1459473.0
ME,29827,Shoulder arthroscopy,4,11431.0,11265.0,15338.0,78,131,167.0,13113.0,4073.0,533570.0
ME,43239,Upper GI endoscopy,4,1538.0,1353.0,2882.0,2182,3638,185.0,403843.0,1529.0,5563013.0
ME,45378,"Colonoscopy, diagnostic",5,1793.0,1229.0,1202.0,373,498,563.0,210457.0,0.0,0.0
ME,47562,Lap. cholecystectomy,5,9167.0,7319.0,9167.0,9,24,1848.0,17741.0,1848.0,44353.0
ME,70553,Brain MRI w/ contrast,6,1291.0,1334.0,3644.0,1990,2844,0.0,0.0,2310.0,6569162.0
ME,74177,CT scan abdomen,6,1569.0,951.0,4306.0,9169,13099,618.0,5668795.0,3355.0,43946425.0
MI,27130,Hip replacement,11,16889.0,17167.0,7507.0,1075,1344,0.0,0.0,0.0,0.0
MI,27447,Knee replacement,16,14937.0,3672.0,8494.0,1142,1344,11265.0,12868683.0,4821.0,6479972.0
MI,29827,Shoulder arthroscopy,17,6170.0,283.0,12661.0,1051,1752,5887.0,6188229.0,12377.0,21684840.0
MI,43239,Upper GI endoscopy,25,984.0,795.0,2789.0,21635,36059,189.0,4088610.0,1995.0,71929941.0
MI,45378,"Colonoscopy, diagnostic",22,1340.0,817.0,3163.0,4147,5530,523.0,2171125.0,2346.0,12974957.0
MI,47562,Lap. cholecystectomy,19,5880.0,2808.0,9368.0,146,367,3072.0,450938.0,6560.0,2407372.0
MI,70553,Brain MRI w/ contrast,28,1183.0,503.0,4907.0,19318,27598,680.0,13132766.0,4404.0,121549741.0
MI,74177,CT scan abdomen,28,1114.0,210.0,5248.0,69348,99069,904.0,62701027.0,5038.0,499119889.0
MN,27130,Hip replacement,6,9614.0,1703.0,1356.0,1217,1522,7910.0,9631466.0,0.0,0.0
MN,27447,Knee replacement,6,1516.0,1326.0,1252.0,1293,1522,189.0,244677.0,0.0,0.0
MN,29827,Shoulder arthroscopy,14,7900.0,8994.0,7184.0,328,547,0.0,0.0,0.0,0.0
MN,43239,Upper GI endoscopy,21,1935.0,140.0,2440.0,8646,14411,1795.0,15519996.0,2300.0,33148941.0
MN,45378,"Colonoscopy, diagnostic",21,2409.0,186.0,2413.0,921,1229,2223.0,2049215.0,2227.0,2736716.0
