state,code,procedure,n_hospitals,median_price,lowest_price,highest_price,shoppable_volume,total_volume,conservative_per_patient,conservative_total,aspirational_per_patient,aspirational_total
NH,43239,Upper GI endoscopy,5,1959.0,778.0,2067.0,4288,7148,1181.0,5066364.0,1289.0,9214233.0
NH,45378,"Colonoscopy, diagnostic",5,1852.0,962.0,767.0,1043,1391,890.0,928698.0,0.0,0.0
NH,47562,Lap. cholecystectomy,5,8263.0,4926.0,6317.0,12,31,3337.0,41381.0,1391.0,43114.0
NH,70553,Brain MRI w/ contrast,5,1859.0,624.0,3545.0,4306,6152,1235.0,5317435.0,2921.0,17967513.0
NH,74177,CT scan abdomen,5,1303.0,860.0,972.0,14833,21191,443.0,6567919.0,112.0,2371531.0
NJ,27130,Hip replacement,4,11245.0,11397.0,13418.0,1049,1312,0.0,0.0,2021.0,2651510.0
NJ,27447,Knee replacement,3,12611.0,11397.0,13418.0,1115,1312,1214.0,1353736.0,2021.0,2651510.0
NJ,29827,Shoulder arthroscopy,3,6140.0,4782.0,7338.0,673,1122,1358.0,913877.0,2556.0,2867384.0
NJ,43239,Upper GI endoscopy,5,876.0,749.0,1014.0,40210,67018,127.0,5114413.0,265.0,17771919.0
NJ,45378,"Colonoscopy, diagnostic",5,742.0,734.0,994.0,7803,10405,8.0,59010.0,260.0,2704874.0
NJ,47562,Lap. cholecystectomy,5,5927.0,4683.0,5927.0,217,543,1244.0,270194.0,1244.0,675485.0
NJ,70553,Brain MRI w/ contrast,2,670.0,437.0,903.0,15561,22231,233.0,3625210.0,466.0,10357742.0
NJ,74177,CT scan abdomen,3,401.0,102.0,545.0,57234,81764,299.0,17095163.0,443.0,36197214.0
NM,27130,Hip replacement,4,27744.0,17499.0,52715.0,198,248,10245.0,2032517.0,35215.0,8733443.0
NM,27447,Knee replacement,3,36772.0,36438.0,44656.0,210,248,334.0,70384.0,8218.0,2038169.0
NM,29827,Shoulder arthroscopy,4,17730.0,19112.0,16349.0,109,183,0.0,0.0,0.0,0.0
NM,43239,Upper GI endoscopy,5,4696.0,5028.0,4696.0,4034,6724,0.0,0.0,0.0,0.0
NM,45378,"Colonoscopy, diagnostic",5,3746.0,3746.0,4538.0,833,1111,0.0,0.0,791.0,879287.0
NM,47562,Lap. cholecystectomy,5,11979.0,11489.0,20260.0,18,47,490.0,9206.0,8771.0,412219.0
NM,70553,Brain MRI w/ contrast,5,3352.0,1031.0,4158.0,2438,3483,2321.0,5659947.0,3127.0,10892304.0
NM,74177,CT scan abdomen,5,3849.0,994.0,4972.0,12999,18571,2855.0,37119879.0,3978.0,73873163.0
NY,27130,Hip replacement,6,13818.0,3796.0,25844.0,5718,7148,10022.0,57308564.0,22048.0,157599063.0
NY,27447,Knee replacement,6,13631.0,3152.0,22607.0,6075,7148,10479.0,63667702.0,19455.0,139061486.0
NY,29827,Shoulder arthroscopy,8,3435.0,2855.0,18067.0,1391,2319,579.0,806084.0,15212.0,35276729.0
NY,43239,Upper GI endoscopy,9,861.0,861.0,2285.0,59848,99748,0.0,0.0,1424.0,142004724.0
NY,45378,"Colonoscopy, diagnostic",9,834.0,793.0,953.0,18374,24499,41.0,744849.0,160.0,3911391.0
NY,47562,Lap. cholecystectomy,9,5232.0,2995.0,10643.0,331,828,2237.0,740751.0,7648.0,6332429.0
NY,70553,Brain MRI w/ contrast,9,510.0,346.0,3834.0,40701,58145,164.0,6679426.0,3488.0,202797297.0
NY,74177,CT scan abdomen,10,463.0,346.0,3925.0,132892,189847,118.0,15643722.0,3579.0,679489027.0
OH,27130,Hip replacement,6,25371.0,34124.0,47166.0,1398,1748,0.0,0.0,13042.0,22797218.0
OH,27447,Knee replacement,9,21997.0,26624.0,3118.0,1485,1748,0.0,0.0,0.0,0.0
OH,29827,Shoulder arthroscopy,9,9934.0,9934.0,10794.0,1386,2310,0.0,0.0,860.0,1987673.0
OH,43239,Upper GI endoscopy,20,951.0,714.0,2348.0,29982,49971,237.0,7093985.0,1633.0,81626850.0
OH,45378,"Colonoscopy, diagnostic",20,845.0,668.0,2492.0,6529,8706,177.0,1156021.0,1823.0,15874022.0
OH,47562,Lap. cholecystectomy,15,7563.0,2901.0,22086.0,194,486,4662.0,906275.0,19184.0,9323556.0
OH,70553,Brain MRI w/ contrast,37,918.0,521.0,5033.0,19636,28052,397.0,7786364.0,4512.0,126571737.0
OH,74177,CT scan abdomen,38,939.0,381.0,5436.0,68824,98320,557.0,38344076.0,5054.0,496932119.0
OK,27130,Hip replacement,3,17812.0,17812.0,83727.0,1877,2347,0.0,0.0,65915.0,154702191.0
OK,27447,Knee replacement,3,17812.0,17812.0,51236.0,1994,2347,0.0,0.0,33424.0,78446442.0
OK,29827,Shoulder arthroscopy,5,20888.0,11511.0,39179.0,766,1277,9377.0,7184625.0,27668.0,35332199.0
OK,43239,Upper GI endoscopy,7,4129.0,1938.0,4129.0,10037,16729,2190.0,21983503.0,2190.0,36639171.0
OK,45378,"Colonoscopy, diagnostic",7,3265.0,2064.0,3265.0,2355,3141,1201.0,2829805.0,1201.0,3773073.0
OK,47562,Lap. cholecystectomy,7,11343.0,7319.0,24584.0,112,282,4025.0,453967.0,17266.0,4868895.0
OK,70553,Brain MRI w/ contrast,5,2721.0,1502.0,2721.0,5869,8385,1218.0,7151105.0,1218.0,10215865.0
OK,74177,CT scan abdomen,6,2489.0,965.0,2699.0,27493,39277,1523.0,41879628.0,1733.0,68084008.0
OR,43239,Upper GI endoscopy,7,2183.0,1307.0,2971.0,7104,11841,876.0,6222477.0,1664.0,19706501.0
OR,45378,"Colonoscopy, diagnostic",6,2049.0,1677.0,2741.0,1158,1544,372.0,430898.0,1064.0,1643428.0
OR,47562,Lap. cholecystectomy,3,7297.0,7297.0,8031.0,37,94,0.0,0.0,734.0,69006.0
OR,70553,Brain MRI w/ contrast,7,3569.0,1160.0,6410.0,5996,8567,2409.0,14445088.0,5249.0,44972356.0
OR,74177,CT scan abdomen,8,3377.0,460.0,3146.0,24782,35404,2917.0,72289442.0,2686.0,95107562.0
PA,27130,Hip replacement,12,2985.0,13341.0,18162.0,3368,4211,0.0,0.0,4821.0,20302093.0
PA,27447,Knee replacement,12,13342.0,13209.0,21316.0,3579,4211,133.0,477107.0,8107.0,34139597.0
PA,29827,Shoulder arthroscopy,13,1827.0,1799.0,15361.0,1411,2352,27.0,38599.0,13562.0,31896902.0
PA,43239,Upper GI endoscopy,13,928.0,389.0,1759.0,39663,66106,539.0,21367356.0,1370.0,90585683.0
PA,45378,"Colonoscopy, diagnostic",13,910.0,867.0,1320.0,7100,9467,43.0,302803.0,453.0,4288958.0
PA,47562,Lap. cholecystectomy,13,5789.0,1461.0,9689.0,228,570,4328.0,986676.0,8228.0,4689890.0
PA,70553,Brain MRI w/ contrast,14,616.0,315.0,1413.0,29265,41808,301.0,8809415.0,1099.0,45928536.0
PA,74177,CT scan abdomen,14,362.0,225.0,1496.0,101998,145712,137.0,13973348.0,1271.0,185178323.0
PR,29827,Shoulder arthroscopy,2,6894.0,10236.0,3553.0,13,23,0.0,0.0,0.0,0.0
PR,43239,Upper GI endoscopy,2,655.0,923.0,388.0,472,788,0.0,0.0,0.0,0.0
PR,45378,"Colonoscopy, diagnostic",2,477.0,524.0,430.0,208,278,0.0,0.0,0.0,0.0
PR,70553,Brain MRI w/ contrast,2,808.0,794.0,821.0,155,222,13.0,2043.0,26.0,5837.0
PR,74177,CT scan abdomen,2,629.0,716.0,542.0,949,1356,0.0,0.0,0.0,0.0
RI,27447,Knee replacement,2,10987.0,9690.0,12284.0,269,317,1297.0,349442.0,2594.0,822218.0
RI,29827,Shoulder arthroscopy,2,3823.0,2883.0,4762.0,126,211,940.0,118950.0,1879.0,396501.0
RI,43239,Upper GI endoscopy,2,989.0,876.0,1102.0,3507,5845,113.0,396975.0,226.0,1323251.0
RI,45378,"Colonoscopy, diagnostic",2,1098.0,1052.0,1143.0,762,1017,45.0,34567.0,91.0,92177.0
